B.L..Scientific.name,order.Birdlife,family_name.Birdlife,Birdlife.Common.name.x,Colour.richness,BCI,Distinct.patterning,Unusual.appendages,Unusual.adornments,IUCNstatus,Extinction.risk,migration,tp,tl,habitat_1,colonial,log.mass,Africa.log.Range,ED_score,Sources
Ploceus castaneiceps,PASSERIFORMES,Ploceidae,Taveta Golden Weaver,7,0.03,1,0,0,LC,5,1,Diurnal,Herbivore,Aquatic,Colonial,1.267171728,4.660835535,2.92569,3
Aquila rapax,ACCIPITRIFORMES,Accipitridae,Tawny Eagle,2,0.041666667,1,0,0,LC,5,1,Diurnal,Carnivore,Open vegetation,Not colonial,3.352182518,7.172442161,4.875081,11
Anthus campestris,PASSERIFORMES,Motacillidae,Tawny Pipit,6,0.015625,1,0,0,LC,5,4,Diurnal,Carnivore,Open vegetation,Not colonial,1.361727836,6.709308222,4.408717,1
Cursorius temminckii,CHARADRIIFORMES,Glareolidae,Temminck's Courser,5,0.017857143,1,0,0,LC,5,3,Nocturnal,Carnivore,Open vegetation,Not colonial,1.840106094,7.035654494,7.780041,4
Eremophila bilopha,PASSERIFORMES,Alaudidae,Temminck's Lark,4,0,1,0,1,LC,5,1,Diurnal,Herbivore,Open vegetation,Not colonial,1.58546073,6.009173467,7.246331,6
Xenus cinereus,CHARADRIIFORMES,Scolopacidae,Terek Sandpiper,4,0,1,1,0,LC,5,4,Diurnal,Carnivore,Aquatic,Not colonial,1.896526217,5.901888168,26.190881,1
Phyllastrephus terrestris,PASSERIFORMES,Pycnonotidae,Terrestrial Brownbul,3,0,1,0,0,LC,5,1,Diurnal,Omnivore,Forest,Not colonial,1.494154594,6.380722226,9.47284,1
Galerida theklae,PASSERIFORMES,Alaudidae,Thekla's Lark,4,0,1,0,0,LC,5,1,Diurnal,Carnivore,Shrubland,Not colonial,1.367879932,6.226091987,5.643283,5
Pachycoccyx audeberti,CUCULIFORMES,Cuculidae,Thick-billed Cuckoo,2,0,1,0,0,LC,5,1,Diurnal,Carnivore,Forest,Not colonial,2.01494035,6.641883569,43.684549,2
Ramphocoris clotbey,PASSERIFORMES,Alaudidae,Thick-billed Lark,5,0,1,0,0,LC,5,3,Diurnal,Herbivore,Bare habitat,Not colonial,1.692406235,5.889637662,6.681463,7
