Order,Family,Scientific,Common,log.Range,bccstatus,bcc,Colour.richness,BCI,Distinct.patterning,Unusual.appendages,Unusual.adornments,status,Extinction.risk,migratory type,migration,tp,tl,ED_score,habitat_1,colonial,log.mass,Sources
CHARADRIIFORMES,Laridae,Chlidonias niger,Black Tern,1.113943352,Green,3,3,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,3.943958,Aquatic,Colonial,1.814913181,6
PASSERIFORMES,Fringillidae,Chloris chloris,Greenfinch,3.421768401,Green,3,5,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Herbivore,3.864093,Artificial,Colonial,1.414973348,5
PASSERIFORMES,Cinclidae,Cinclus cinclus,Dipper,3.223236273,Amber,2,3,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,10.682049,Aquatic,Not colonial,1.790285164,7
ACCIPITRIFORMES,Accipitridae,Circus aeruginosus,Marsh Harrier,2.63748973,Amber,2,5,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,4.759914,Aquatic,Not colonial,2.852174904,8
ACCIPITRIFORMES,Accipitridae,Circus cyaneus,Hen Harrier,3.254306332,Red,1,3,0,0,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,5.217953,Forest,Not colonial,2.603144373,6
ACCIPITRIFORMES,Accipitridae,Circus pygargus,Montagu's Harrier,1.897627091,Amber,2,4,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,6.148524,Aquatic,Not colonial,2.498999364,4
ANSERIFORMES,Anatidae,Clangula hyemalis,Long-tailed Duck,2.804820679,Red,1,4,0,1,0,0,VU,3,Full Migrant,4,Diurnal,Carnivore,8.053587,Open vegetation,Colonial,2.941014244,6
PASSERIFORMES,Fringillidae,Coccothraustes coccothraustes,Hawfinch,2.920645001,Red,1,8,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Herbivore,10.352157,Forest,Colonial,1.753199914,6
COLUMBIFORMES,Columbidae,Columba livia,Rock Dove,3.424718337,Green,3,4,0.0625,1,0,0,LC,5,Not a Migrant,1,Diurnal,Herbivore,4.510291,Artificial,Colonial,2.54961624,5
COLUMBIFORMES,Columbidae,Columba oenas,Stock Dove,3.338456494,Amber,2,5,0.0625,1,0,0,LC,5,Full Migrant,4,Diurnal,Herbivore,6.326991,Other,Not colonial,2.463892989,3
COLUMBIFORMES,Columbidae,Columba palumbus,Woodpigeon,3.42553422,Green,3,6,0.0625,1,0,0,LC,5,Full Migrant,4,Diurnal,Herbivore,5.421109,Shrubland,Not colonial,2.69019608,3
PASSERIFORMES,Corvidae,Corvus corax,Raven,3.353146546,Green,3,2,0,0,0,0,LC,5,Not a Migrant,1,Diurnal,Carnivore,2.745269,Bare,Not colonial,2.894869657,8
PASSERIFORMES,Corvidae,Corvus corone,Carrion Crow,3.410945859,Green,3,2,0,0,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,3.611751,Aquatic,Not colonial,2.755874856,4
PASSERIFORMES,Corvidae,Corvus frugilegus,Rook,3.392872745,Green,3,2,0,0,0,0,LC,5,Full Migrant,4,Diurnal,Omnivore,4.085263,Artificial,Colonial,2.656577291,5
PASSERIFORMES,Corvidae,Corvus monedula,Jackdaw,3.407730728,Green,3,3,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Omnivore,4.193947,Aquatic,Colonial,2.390935107,6
GALLIFORMES,Phasianidae,Coturnix coturnix,Quail,3.122870923,Amber,2,5,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Herbivore,5.129845,Open vegetation,Not colonial,1.984527313,4
GRUIFORMES,Rallidae,Crex crex,Corncrake,2.880813592,Red,1,7,0.015625,1,0,0,LC,5,Full Migrant,4,Diurnal,Omnivore,10.730209,Open vegetation,Not colonial,2.191730393,6
